Metro,ind
Белорусская,19
Парк Победы,143
Раменки,169
Третьяковская,207
Улица Скобелевская,219
Филатов луг,223
Первомайская,145
Комсомольская,75
Выхино,48
Некрасовка,120
Академическая,2
Коньково,76
Багратионовская,12
Тургеневская,212
Молодежная,114
Новые Черемушки,129
Алма-Атинская,5
Братиславская,27
Щелковская,243
Речной вокзал,171
Рассказовка,170
Парк культуры,144
Царицыно,232
Селигерская,180
Бибирево,22
Строгино,195
Спартак,190
Китай-город,71
Александровский сад,3
Пионерская,151
Варшавская,35
Юго-Восточная,246
Деловой центр,51
Рязанский проспект,175
Соколиная гора,187
Цветной бульвар,233
Отрадное,138
Дмитровская,54
Ломоносовский проспект,98
Минская,111
Новокузнецкая,124
Тропарево,209
Достоевская,57
Люблино,102
Ростокино,174
Таганская,199
Печатники,150
Международная,109
Марьина Роща,104
Лесопарковая,94
Фили,225
Преображенская площадь,160
Выставочная,46
Хорошево,229
Говорово,49
Медведково,108
Динамо,53
Мичуринский проспект,113
Водный стадион,39
Ленинский проспект,92
Улица Старокачаловская,220
Октябрьское поле,135
Новопеределкино,125
Крылатское,84
Фонвизинская,226
Тверская,200
Кунцевская,88
Беломорская,18
Петровский парк,148
Перово,146
Площадь революции,155
Бунинская аллея,32
Савеловская,176
Владыкино,38
Шелепиха,240
Маяковская,107
Смоленская,185
Войковская,40
Университет,222
Юго-Западная,247
Профсоюзная,165
Чертановская,235
Алексеевская,4
Авиамоторная,0
Марьино,106
Черкизовская,234
Стахановская,193
Бауманская,15
Ботанический сад,26
Аннино,8
Аэропорт,10
Лихоборы,96
Проспект Мира,164
Новокосино,123
Тимирязевская,206
Фрунзенская,227
Дубровка,58
Калужская,66
Площадь Ильича,154
Волгоградский проспект,41
Бабушкинская,11
Волоколамская,43
Красные ворота,81
Улица 1905 года,215
Спортивная,191
Кропоткинская,83
Бульвар Рокоссовского,30
Новослободская,126
Проспект Вернадского,163
Славянский бульвар,184
Красногвардейская,78
Тульская,211
Ховрино,228
Кутузовская,91
Арбатская,9
Октябрьская,134
Локомотив,97
Киевская,70
Бутырская,33
Алтуфьево,6
ЗИЛ,60
Тушинская,213
Домодедовская,56
Сухаревская,197
Орехово,137
Текстильщики,202
Крестьянская застава,82
Прокшино,161
Улица Дмитриевского,217
Нижегородская,121
Боровицкая,24
Коломенская,73
Зорге,61
Петровско-Разумовская,149
Верхние Лихоборы,36
Нагорная,118
Улица Горчакова,216
Павелецкая,140
Коммунарка,74
Сретенский бульвар,192
Новогиреево,122
Верхние котлы,37
Кузьминки,87
Жулебино,59
Чкаловская,238
Окская,133
Марксистская,103
Автозаводская,1
Севастопольская,179
Новоясеневская,128
Сокол,186
Саларьево,177
Ясенево,249
Шаболовская,239
Свиблово,178
Шипиловская,241
Добрынинская,55
Красносельская,80
Солнцево,189
Пражская,159
Щукинская,244
Кожуховская,72
Площадь Гагарина,153
Зябликово,62
Теплый стан,203
Нагатинская,117
Серпуховская,182
Борисово,23
Римская,173
Крымская,85
Планерная,152
Технопарк,205
Деловой центр (МЦК),52
Боровское шоссе,25
Шоссе Энтузиастов,242
Южная,248
Театральная,201
Чеховская,236
Новохохловская,127
Пушкинская,166
Митино,112
Чистые пруды,237
Охотный ряд,139
Полянка,158
Беговая,16
Улица академика Янгеля,221
Воробьевы Горы,44
Полежаевская,157
Баррикадная,14
Краснопресненская,79
Сокольники,188
ЦСКА,231
Трубная,210
Сходненская,198
Коптево,77
Лермонтовский проспект,93
Пятницкое шоссе,167
Мякинино,116
Беляево,20
Балтийская,13
Измайлово,63
Курская,89
Измайловская,64
Филевский парк,224
Волжская,42
Электрозаводская,245
Кантемировская,67
Пролетарская,162
Ольховая,136
Белокаменная,17
Лефортово,95
Угрешская,214
Нахимовский проспект,119
Лубянка,99
Студенческая,196
Менделеевская,110
Стрешнево,194
Хорошевская,230
Окружная,132
Андроновка,7
Панфиловская,141
ВДНХ,34
Озёрная,131
Рижская,172
Бульвар адмирала Ушакова,31
Кузнецкий мост,86
Семеновская,181
Каховская,68
Лужники,100
Лухмановская,101
Бульвар Дмитрия Донского,29
Каширская,69
Петровский Парк,147
Улица Милашенкова,218
Рабочий поселок,168
Парк Культуры,142
Гражданская,50
Озерная,130
Тестовская,204
Бульвар Адмирала Ушакова,28
Москва-Товарная,115
Воробьевы горы,45
Курьяново,90
Покровское-Стрешнево,156
Трикотажная,208
Калитники,65
Бескудниково,21
Сетунь,183
Марьина роща,105
Выставочный центр,47
